   #Clust  Clust1:     Clust2:    Dist. based

    17       2           8              0.688
    17       2           9              0.917
    17       2          10              0.454
    17       2          11              0.901
    17       2          12              0.889
    17       2          13              0.827
    17       2          14              0.881
    17       2          15              0.816
    17       2          16              0.571
    17       2          17              0.907
    17       3           4              0.743
    17       3           5              0.861
    17       3           6              0.665
    17       3           7              0.774
    17       3           8              0.852
    17       3           9              0.841
    17       3          10              0.867
    17       3          11              0.746
    17       3          12              0.654
    17       3          13              0.679
    17       3          14              0.732
    17       3          15              0.391
    17       3          16              0.852
    17       3          17              0.794
    17       4           5              0.829
    17       4           6              0.489
    17       4           7              0.675
    17       4           8              0.791
    17       4           9              0.849
    17       4          10              0.793
    17       4          11              0.810
    17       4          12              0.745
    17       4          13              0.738
    17       4          14              0.674
    17       4          15              0.586
    17       4          16              0.731
    17       4          17              0.800
    17       5           6              0.767
    17       5           7              0.705
    17       5           8              0.438
    17       5           9              0.920
    17       5          10              0.619
    17       5          11              0.908
    17       5          12              0.895
    17       5          13              0.740
    17       5          14              0.888
    17       5          15              0.826
    17       5          16              0.682
    17       5          17              0.907
    17       6           7              0.310
    17       6           8              0.716
    17       6           9              0.857
    17       6          10              0.760
    17       6          11              0.823
    17       6          12              0.769
    17       6          13              0.459
    17       6          14              0.749
    17       6          15              0.135
    17       6          16              0.638
    17       6          17              0.820
    17       7           8              0.571
    17       7           9              0.892
    17       7          10              0.704
    17       7          11              0.872
    17       7          12              0.842
    17       7          13              0.564
    17       7          14              0.828
    17       7          15              0.651
    17       7          16              0.417
    17       7          17              0.870
    17       8           9              0.917
    17       8          10              0.342
    17       8          11              0.904
    17       8          12              0.888
    17       8          13              0.731
    17       8          14              0.877
    17       8          15              0.806
    17       8          16              0.340
    17       8          17              0.902
    17       9          10              0.918
    17       9          11              0.432
    17       9          12              0.680
    17       9          13              0.880
    17       9          14              0.769
    17       9          15              0.820
    17       9          16              0.910
    17       9          17              0.496
    17      10          11              0.908
    17      10          12              0.892
    17      10          13              0.788
    17      10          14              0.878
    17      10          15              0.807
    17      10          16              0.404
    17      10          17              0.902
    17      11          12              0.443
    17      11          13              0.845
    17      11          14              0.705
    17      11          15              0.785
    17      11          16              0.897
    17      11          17              0.537
    17      12          13              0.809
    17      12          14              0.382
    17      12          15              0.689
    17      12          16              0.875
    17      12          17              0.533
    17      13          14              0.815
    17      13          15              0.435
    17      13          16              0.736
    17      13          17              0.851
    17      14          15              0.708
    17      14          16              0.870
    17      14          17              0.591
    17      15          16              0.742
    17      15          17              0.786
    17      16          17              0.891

    18       1           2              0.817
    18       1           3              0.666
    18       1           4              0.188
    18       1           5              0.854
    18       1           6              0.561
    18       1           7              0.764
    18       1           8              0.832
    18       1           9              0.802
    18       1          10              0.818
    18       1          11              0.741
    18       1          12              0.590
    18       1          13              0.718
    18       1          14              0.405
    18       1          15              0.650
    18       1          16              0.826
    18       1          17              0.711
    18       1          18              0.774
    18       2           3              0.881
    18       2           4              0.800
    18       2           5              0.794
    18       2           6              0.815
    18       2           7              0.756
    18       2           8              0.688
    18       2           9              0.917
    18       2          10              0.454
    18       2          11              0.901
    18       2          12              0.889
    18       2          13              0.817
    18       2          14              0.881
    18       2          15              0.858
    18       2          16              0.571
    18       2          17              0.907
    18       2          18              0.852
    18       3           4              0.777
    18       3           5              0.861
    18       3           6              0.704
    18       3           7              0.808
    18       3           8              0.852
    18       3           9              0.841
    18       3          10              0.867
    18       3          11              0.746
    18       3          12              0.654
    18       3          13              0.704
    18       3          14              0.732
    18       3          15              0.391
    18       3          16              0.852
    18       3          17              0.794
    18       3          18              0.691
    18       4           5              0.842
    18       4           6              0.466
    18       4           7              0.715
    18       4           8              0.808
    18       4           9              0.854
    18       4          10              0.808
    18       4          11              0.816
    18       4          12              0.754
    18       4          13              0.699
    18       4          14              0.676
    18       4          15              0.714
    18       4          16              0.753
    18       4          17              0.802
    18       4          18              0.783
    18       5           6              0.830
    18       5           7              0.702
    18       5           8              0.438
    18       5           9              0.920
    18       5          10              0.619
    18       5          11              0.908
    18       5          12              0.895
    18       5          13              0.759
    18       5          14              0.888
    18       5          15              0.838
    18       5          16              0.682
    18       5          17              0.907
    18       5          18              0.777
    18       6           7              0.632
    18       6           8              0.789
    18       6           9              0.872
    18       6          10              0.814
    18       6          11              0.841
    18       6          12              0.784
    18       6          13              0.398
    18       6          14              0.760
    18       6          15              0.456
    18       6          16              0.729
    18       6          17              0.837
    18       6          18              0.694
    18       7           8              0.563
    18       7           9              0.909
    18       7          10              0.705
    18       7          11              0.892
    18       7          12              0.866
    18       7          13              0.444
    18       7          14              0.843
    18       7          15              0.741
    18       7          16              0.412
    18       7          17              0.882
    18       7          18              0.662
    18       8           9              0.917
    18       8          10              0.342
    18       8          11              0.904
    18       8          12              0.888
    18       8          13              0.713
    18       8          14              0.877
    18       8          15              0.820
    18       8          16              0.340
    18       8          17              0.902
    18       8          18              0.772
    18       9          10              0.918
    18       9          11              0.432
    18       9          12              0.680
    18       9          13              0.887
    18       9          14              0.769
    18       9          15              0.866
    18       9          16              0.910
    18       9          17              0.496
    18       9          18              0.887
    18      10          11              0.908
    18      10          12              0.892
    18      10          13              0.778
    18      10          14              0.878
    18      10          15              0.850
    18      10          16              0.404
    18      10          17              0.902
    18      10          18              0.817
    18      11          12              0.443
    18      11          13              0.860
    18      11          14              0.705
    18      11          15              0.785
    18      11          16              0.897
    18      11          17              0.537
    18      11          18              0.850
    18      12          13              0.824
    18      12          14              0.382
    18      12          15              0.765
    18      12          16              0.875
    18      12          17              0.533
    18      12          18              0.828
    18      13          14              0.816
    18      13          15              0.470
    18      13          16              0.696
    18      13          17              0.863
    18      13          18              0.381
    18      14          15              0.774
    18      14          16              0.870
    18      14          17              0.591
    18      14          18              0.833
    18      15          16              0.805
    18      15          17              0.836
    18      15          18              0.495
    18      16          17              0.891
    18      16          18              0.777
    18      17          18              0.865

    19       1           2              0.826
    19       1           3              0.666
    19       1           4              0.188
    19       1           5              0.854
    19       1           6              0.561
    19       1           7              0.764
    19       1           8              0.835
    19       1           9              0.802
    19       1          10              0.851
    19       1          11              0.741
    19       1          12              0.590
    19       1          13              0.718
    19       1          14              0.405
    19       1          15              0.650
    19       1          16              0.826
    19       1          17              0.711
    19       1          18              0.774
    19       1          19              0.815
    19       2           3              0.890
    19       2           4              0.816
    19       2           5              0.758
    19       2           6              0.830
    19       2           7              0.741
    19       2           8              0.640
    19       2           9              0.925
    19       2          10              0.315
    19       2          11              0.916
    19       2          12              0.901
    19       2          13              0.818
    19       2          14              0.886
    19       2          15              0.866
    19       2          16              0.518
    19       2          17              0.909
    19       2          18              0.849
    19       2          19              0.458
    19       3           4              0.777
    19       3           5              0.861
    19       3           6              0.704
    19       3           7              0.808
    19       3           8              0.855
    19       3           9              0.841
    19       3          10              0.879
    19       3          11              0.746
    19       3          12              0.654
    19       3          13              0.704
    19       3          14              0.732
    19       3          15              0.391
    19       3          16              0.852
    19       3          17              0.794
    19       3          18              0.691
    19       3          19              0.892
    19       4           5              0.842
    19       4           6              0.466
    19       4           7              0.715
    19       4           8              0.812
    19       4           9              0.854
    19       4          10              0.834
    19       4          11              0.816
    19       4          12              0.754
    19       4          13              0.699
    19       4          14              0.676
    19       4          15              0.714
    19       4          16              0.752
    19       4          17              0.802
    19       4          18              0.783
    19       4          19              0.797
    19       5           6              0.830
    19       5           7              0.702
    19       5           8              0.430
    19       5           9              0.920
    19       5          10              0.641
    19       5          11              0.908
    19       5          12              0.895
    19       5          13              0.759
    19       5          14              0.888
    19       5          15              0.838
    19       5          16              0.682
    19       5          17              0.907
    19       5          18              0.777
    19       5          19              0.813
    19       6           7              0.632
    19       6           8              0.794
    19       6           9              0.872
    19       6          10              0.836
    19       6          11              0.841
    19       6          12              0.784
    19       6          13              0.398
    19       6          14              0.760
    19       6          15              0.456
    19       6          16              0.730
    19       6          17              0.837
    19       6          18              0.694
    19       6          19              0.833
    19       7           8              0.566
    19       7           9              0.909
    19       7          10              0.723
    19       7          11              0.892
    19       7          12              0.866
    19       7          13              0.444
    19       7          14              0.843
    19       7          15              0.741
    19       7          16              0.411
    19       7          17              0.882
    19       7          18              0.662
    19       7          19              0.779
    19       8           9              0.919
    19       8          10              0.429
    19       8          11              0.907
    19       8          12              0.890
    19       8          13              0.717
    19       8          14              0.879
    19       8          15              0.823
    19       8          16              0.355
    19       8          17              0.904
    19       8          18              0.776
    19       8          19              0.771
    19       9          10              0.927
    19       9          11              0.432
    19       9          12              0.680
    19       9          13              0.887
    19       9          14              0.769
    19       9          15              0.866
    19       9          16              0.911
    19       9          17              0.496
    19       9          18              0.887
    19       9          19              0.924
    19      10          11              0.917
    19      10          12              0.903
    19      10          13              0.796
    19      10          14              0.891
    19      10          15              0.865
    19      10          16              0.580
    19      10          17              0.913
    19      10          18              0.836
    19      10          19              0.669
    19      11          12              0.443
    19      11          13              0.860
    19      11          14              0.705
    19      11          15              0.785
    19      11          16              0.897
    19      11          17              0.537
    19      11          18              0.850
    19      11          19              0.909
    19      12          13              0.824
    19      12          14              0.382
    19      12          15              0.765
    19      12          16              0.875
    19      12          17              0.533
    19      12          18              0.828
    19      12          19              0.898
    19      13          14              0.816
    19      13          15              0.470
    19      13          16              0.696
    19      13          17              0.863
    19      13          18              0.381
    19      13          19              0.834
    19      14          15              0.774
    19      14          16              0.870
    19      14          17              0.591
    19      14          18              0.833
    19      14          19              0.879
    19      15          16              0.805
    19      15          17              0.836
    19      15          18              0.495
    19      15          19              0.872
    19      16          17              0.891
